Expansion_Site__r.Name,Scoring_Date__c,Scored_By__c,Demand_Factor__c,Demographics_Factor__c,Competition_Factor__c,Accessibility_Factor__c,Scoring_Notes__c
"Malad West - 400064","2026-04-15","Agentforce Store Expansion Agent",24,23,10,22,"High potential residential zone offset by very high local competitor density."
"Bandra West - 400050","2026-04-15","Agentforce Store Expansion Agent",22,25,8,23,"Top-tier income profile makes high rent acceptable; competition is the primary risk."
"Kalyani Nagar - 411006","2026-04-15","Agentforce Store Expansion Agent",18,22,16,21,"Balanced demographic profile with moderate competitive headroom."
"Hinjewadi - 411057","2026-04-15","Agentforce Store Expansion Agent",20,18,15,22,"Captive audience during work hours but subject to traffic access delays."
"Indiranagar - 560038","2026-04-15","Agentforce Store Expansion Agent",24,25,9,24,"Premium location with massive consumption volume but heavy Q-commerce threat."
"HSR Layout - 560102","2026-04-15","Agentforce Store Expansion Agent",21,20,14,23,"Solid middle-class residential base with high supermarket adoption rates."
"Gachibowli - 500032","2026-04-15","Agentforce Store Expansion Agent",22,21,12,23,"Ideal for young professional demographic; setup cost justified by consistent footfall."
"Banjara Hills - 500034","2026-04-15","Agentforce Store Expansion Agent",19,24,10,22,"Elite catchment but significant high-street competition."
"Vasant Kunj - 110070","2026-04-15","Agentforce Store Expansion Agent",23,24,11,23,"Top performing zone for luxury FMCG and imported categories."
"Rohini - 110085","2026-04-15","Agentforce Store Expansion Agent",18,17,19,22,"High volume play in traditional family-oriented residential cluster."
"T. Nagar - 600017","2026-04-15","Agentforce Store Expansion Agent",25,18,8,23,"Unmatched footfall but localized logistics and parking are challenges."
"Prahlad Nagar - 380015","2026-04-15","Agentforce Store Expansion Agent",18,19,17,21,"Steady growth node for Ahmedabad's professional class."
"Sargasan - 382421","2026-04-15","Agentforce Store Expansion Agent",19,20,18,21,"Strong potential near GIFT City with tech-savvy consumer base."
"Adajan - 395009","2026-04-15","Agentforce Store Expansion Agent",20,21,15,22,"Diamond belt high disposable income supports premium product range."
"Alkapuri - 390007","2026-04-15","Agentforce Store Expansion Agent",19,21,16,21,"Stable commercial hub with consistent mid-to-high ticket spending."
"Arera Colony - 462016","2026-04-15","Agentforce Store Expansion Agent",18,18,19,20,"Traditional affluent pocket with high brand loyalty."
"Vijay Nagar - 452010","2026-04-15","Agentforce Store Expansion Agent",22,20,15,22,"Indore's primary growth node for organized retail formats."
"City Centre - 474002","2026-04-15","Agentforce Store Expansion Agent",15,14,23,18,"Low competition provides high potential for captive dominance."
"Civil Lines - 482001","2026-04-15","Agentforce Store Expansion Agent",14,16,22,17,"Safe bet in Jabalpur's administrative heart."
"Gomti Nagar - 226010","2026-04-15","Agentforce Store Expansion Agent",20,21,14,21,"Fastest expanding organized retail cluster in Uttar Pradesh."
"Mall Road - 208001","2026-04-15","Agentforce Store Expansion Agent",19,16,18,19,"Density supports high revenue potential despite local infrastructure risks."
"Sanjay Place - 282002","2026-04-15","Agentforce Store Expansion Agent",15,15,22,18,"Balanced site score for Agra's central commercial district."
"Sigra - 221002","2026-04-15","Agentforce Store Expansion Agent",20,15,18,16,"Strong demand from tourist influx but accessibility is hampered."
"Sector 18 - 201301","2026-04-15","Agentforce Store Expansion Agent",23,24,12,23,"Elite corporate and residential density justifies premium setup cost."
"Mansarovar - 302020","2026-04-15","Agentforce Store Expansion Agent",21,18,17,21,"Massive volume opportunity in the city's largest residential zone."
"Sardarpura - 342003","2026-04-15","Agentforce Store Expansion Agent",16,17,21,19,"Traditional wealth pocket with moderate organized retail competition."
"Sukhadia Circle - 313001","2026-04-15","Agentforce Store Expansion Agent",17,15,20,18,"High tourist-local footfall mix with rising brand awareness."
"Talwandi - 324005","2026-04-15","Agentforce Store Expansion Agent",20,14,22,20,"High captive student demand for stationery snacks and personal care."
"Vrindavan Yojana - 226010","2026-04-15","Agentforce Store Expansion Agent",18,17,19,20,"Balanced score reflecting a growing residential cluster with moderate competition."
