Name,City__c,State__c,Region__c,TAM__c,Analysis_Date__c,Top_Sites__c,Blind_Spots__c,Primary_Source__c,Source_Version__c,Confidence__c,Growth_Rate__c,Competitor_Count__c
"Mumbai Market Analysis",Mumbai,Maharashtra,West,2450000000000,2026-04-01,"Bandra West, Malad West, and Thane West are prime. High suburban density in Thane drives growth.","High competition from 50+ organized stores. Extreme real estate costs and low rental yields.","IBEF Retail Report 2024",2024 edition,High,8.2,112
"Pune Market Analysis",Pune,Maharashtra,West,550000000000,2026-04-01,"Kalyani Nagar, Hinjewadi, and Hadapsar are top sites. High student and IT workforce population.","Infrastructure bottlenecks and traffic congestion near Hinjewadi IT parks.","Technopak India Retail 2024",2024 edition,Medium,7.8,64
"Bangalore Market Analysis",Bangalore,Karnataka,South,1200000000000,2026-04-01,"Indiranagar, HSR Layout, and Whitefield are premier. Highest FMCG spend per kg in India.","Quick commerce dominance is extremely high. Talent attrition in retail staff is a risk.","Euromonitor India Retail",2024 edition,High,8.5,88
"Hyderabad Market Analysis",Hyderabad,Telangana,South,850000000000,2026-04-01,"Gachibowli, Banjara Hills, and Jubilee Hills are core. Strong pharma and IT middle-class base.","Fragmented local competition from regional chains like Ratnadeep.","Knight Frank Think India Retail",2024 edition,Medium,9.1,72
"Delhi Market Analysis",Delhi,Delhi,North,1850000000000,2026-04-01,"Vasant Kunj, Rohini, and Dwarka are key. Highest FMCG spend per household in West Delhi.","Over-saturation of shopping malls. Regulatory vigilance regarding heritage zones.","IBEF Retail Report 2024",2024 edition,High,7.4,124
"Chennai Market Analysis",Chennai,Tamil Nadu,South,650000000000,2026-04-01,"T. Nagar, Adyar, and Velachery are top performing. Stable, brand-loyal consumer base.","Complex labor union dynamics. Strong preference for traditional trade in some pockets.","Technopak India Retail 2024",2024 edition,Medium,7.9,56
"Ahmedabad Market Analysis",Ahmedabad,Gujarat,West,450000000000,2026-04-01,"CG Road, Prahlad Nagar, and Satellite. Deep quality-seeking population.","Informal trade dominance. Resistance to premium pricing without clear utility.","CBRE India Retail H2 2024",2024 edition,Medium,8.1,48
"Gandhinagar Market Analysis",Gandhinagar,Gujarat,West,120000000000,2026-04-01,"Sargasan, Kudasan, and GIFT City zones. Elite tech-savvy workforce base.","Limited night-time footfall. Lower population density compared to Ahmedabad.","JLL India Retail Report",2024 edition,Low,8.3,18
"Surat Market Analysis",Surat,Gujarat,West,380000000000,2026-04-01,"Adajan, Vesu, and Piplod are prime. High disposable income from diamond industry.","Lack of Grade A mall space in central areas. Heavy seasonal festive demand.","Technopak India Retail 2024",2024 edition,Medium,8.4,42
"Vadodara Market Analysis",Vadodara,Gujarat,West,280000000000,2026-04-01,"Alkapuri, Gotri Road, and Manjalpur. Stable industrial employee base.","Proximity to Ahmedabad leads to retail leakage. High demand for value formats.","Randstad India Talent Report",2024 edition,Medium,7.6,35
