Name,Market_Analysis__r.Name,Risk_Type__c,Severity__c,Summary__c
"Mumbai Risk 1","Mumbai Market Analysis",Competition,High,"Extreme density of DMart and Reliance stores in western suburbs reduces captive market share."
"Mumbai Risk 2","Mumbai Market Analysis",Supply,Medium,"High real estate rentals in primary corridors lead to longer break-even timelines."
"Mumbai Risk 3","Mumbai Market Analysis",Demographics,Low,"High migration rates in suburban clusters cause shifting demand patterns."
"Pune Risk 1","Pune Market Analysis",Accessibility,Medium,"Traffic congestion on Mumbai-Pune highway hampers timely logistics replenishment."
"Pune Risk 2","Pune Market Analysis",Competition,High,"Aggressive expansion by local supermarket chains like Star Bazaar."
"Pune Risk 3","Pune Market Analysis",Demand,Low,"IT sector layoffs impact discretionary spending in Hinjewadi area."
"Bangalore Risk 1","Bangalore Market Analysis",Demand,Medium,"Deep penetration of quick-commerce platforms like Zepto reduces hypermarket footfall."
"Bangalore Risk 2","Bangalore Market Analysis",Demographics,Low,"High workforce attrition in the retail sector increases operational overhead."
"Bangalore Risk 3","Bangalore Market Analysis",Accessibility,High,"Severe road traffic bottlenecks increase last-mile delivery costs for online orders."
"Hyderabad Risk 1","Hyderabad Market Analysis",Competition,Medium,"Strong localized competition from regional supermarket chains like Ratnadeep."
"Hyderabad Risk 2","Hyderabad Market Analysis",Supply,Low,"Slower pace of new Grade A commercial mall developments in central Hyderabad."
"Hyderabad Risk 3","Hyderabad Market Analysis",Demographics,Medium,"Cultural preference for traditional meat and produce markets remains high."
"Delhi Risk 1","Delhi Market Analysis",Demographics,Low,"Winter air pollution surges significantly impact evening footfall in open-air markets."
"Delhi Risk 2","Delhi Market Analysis",Supply,High,"Complex regulatory vigilance and frequent demolition drives for unauthorized builds."
"Delhi Risk 3","Delhi Market Analysis",Competition,Medium,"Over-saturation of shopping malls in South and West Delhi districts."
"Chennai Risk 1","Chennai Market Analysis",Demand,Medium,"Strong consumer loyalty to traditional independent retailers and cooperatives."
"Chennai Risk 2","Chennai Market Analysis",Demographics,Low,"High sensitivity to regional language branding in retail messaging."
"Chennai Risk 3","Chennai Market Analysis",Accessibility,Medium,"Infrastructure works for new metro lines disrupt traffic to core high streets."
"Ahmedabad Risk 1","Ahmedabad Market Analysis",Demand,Low,"Consumer preference for informal trade markets delays adoption of organized formats."
"Ahmedabad Risk 2","Ahmedabad Market Analysis",Competition,Medium,"Rising presence of Reliance Smart formats due to deep state-level sourcing roots."
"Ahmedabad Risk 3","Ahmedabad Market Analysis",Supply,Low,"Limited availability of large land parcels in established areas like CG Road."
"Gandhinagar Risk 1","Gandhinagar Market Analysis",Demand,High,"Lower night-time footfall as many GIFT City workers commute back to Ahmedabad."
"Gandhinagar Risk 2","Gandhinagar Market Analysis",Demographics,Medium,"Younger tech-savvy workforce demands high-end product mixes over bulk staples."
"Gandhinagar Risk 3","Gandhinagar Market Analysis",Accessibility,Low,"Dependence on private transport due to limited public transit depth."
"Surat Risk 1","Surat Market Analysis",Competition,Medium,"Strong presence of local cooperatives in the textile and diamond belts."
"Surat Risk 2","Surat Market Analysis",Demographics,Low,"Fluctuating purchasing power linked to global diamond and textile market cycles."
"Surat Risk 3","Surat Market Analysis",Supply,Medium,"Lack of modern warehousing infrastructure for cold chain logistics."
"Vadodara Risk 1","Vadodara Market Analysis",Supply,Low,"Retail leakage to nearby Ahmedabad for major weekend shopping trips."
"Vadodara Risk 2","Vadodara Market Analysis",Accessibility,Medium,"Old city road widths restrict entry of heavy replenishment trucks."
"Vadodara Risk 3","Vadodara Market Analysis",Competition,Low,"Organized retail penetration is lower than state average increasing first-mover risk."
"Bhopal Risk 1","Bhopal Market Analysis",Demand,High,"Low per-capita spending compared to commercial hubs like Indore."
"Bhopal Risk 2","Bhopal Market Analysis",Demographics,Medium,"Slow adoption of premium D2C brands and organic food segments."
"Bhopal Risk 3","Bhopal Market Analysis",Accessibility,Low,"Lake-focused geography creates circuitous logistics routes for delivery."
"Indore Risk 1","Indore Market Analysis",Supply,Low,"Rapidly rising commercial rentals in primary junctions like Vijay Nagar Square."
"Indore Risk 2","Indore Market Analysis",Competition,High,"Dense clustering of DMart Reliance and local Big Bazaar outlets."
"Indore Risk 3","Indore Market Analysis",Accessibility,Medium,"High footfall in Sarafa and Rajwada causes localized congestion."
"Gwalior Risk 1","Gwalior Market Analysis",Demographics,Medium,"High price sensitivity for non-essential grocery items."
"Gwalior Risk 2","Gwalior Market Analysis",Supply,High,"Lack of Grade A retail space forcing high street presence with limited parking."
"Gwalior Risk 3","Gwalior Market Analysis",Competition,Low,"Low organized retail density makes education of consumer base necessary."
"Jabalpur Risk 1","Jabalpur Market Analysis",Supply,High,"Logistics challenges for fresh produce and perishables from regional hubs."
"Jabalpur Risk 2","Jabalpur Market Analysis",Demographics,Medium,"Seasonal revenue volatility linked to agricultural crop cycles."
"Jabalpur Risk 3","Jabalpur Market Analysis",Accessibility,Medium,"Fragmented residential clusters make route planning inefficient."
"Lucknow Risk 1","Lucknow Market Analysis",Accessibility,Medium,"Traffic bottlenecks in Hazratganj and old city disrupt store deliveries."
"Lucknow Risk 2","Lucknow Market Analysis",Supply,Low,"Rapid but uneven urbanization leads to infrastructure gaps in new zones."
"Lucknow Risk 3","Lucknow Market Analysis",Demographics,Low,"Large floating population from surrounding districts complicates stock mix."
"Kanpur Risk 1","Kanpur Market Analysis",Accessibility,High,"Severe infrastructure decay and drainage issues during monsoon periods."
"Kanpur Risk 2","Kanpur Market Analysis",Competition,Medium,"Strong wholesale markets offer bulk prices that challenge modern retail."
"Kanpur Risk 3","Kanpur Market Analysis",Supply,Medium,"Power reliability issues increasing backup diesel costs for stores."
"Agra Risk 1","Agra Market Analysis",Demographics,Medium,"Seasonal volatility in demand driven by domestic and international tourism."
"Agra Risk 2","Agra Market Analysis",Supply,High,"Heritage-zone construction restrictions limit store size expansions."
"Agra Risk 3","Agra Market Analysis",Accessibility,Medium,"Narrow roads and high tourist traffic near Taj Ganj areas."
"Varanasi Risk 1","Varanasi Market Analysis",Supply,High,"Extreme road narrowness and lack of warehousing increase stock-out risks."
"Varanasi Risk 2","Varanasi Market Analysis",Accessibility,Medium,"Frequent road closures for religious processions impact daily footfall."
"Varanasi Risk 3","Varanasi Market Analysis",Competition,Low,"High first-mover setup costs due to heritage-listed property adjacency."
"Noida Risk 1","Noida Market Analysis",Competition,Medium,"Heavy mall clustering in Sector 18 leads to intense price wars."
"Noida Risk 2","Noida Market Analysis",Demand,Low,"Weekend-skewed demand with lower mid-week footfall in corporate zones."
"Noida Risk 3","Noida Market Analysis",Accessibility,Medium,"Toll booth bottlenecks for traffic coming from Delhi areas."
"Jaipur Risk 1","Jaipur Market Analysis",Demographics,Medium,"High vacancy rates in older malls leading to reduced ecosystem footfall."
"Jaipur Risk 2","Jaipur Market Analysis",Accessibility,Low,"Old pink city traffic restrictions for larger delivery vehicles."
"Jaipur Risk 3","Jaipur Market Analysis",Supply,Medium,"Competition from well-established local supermarket chains."
"Jodhpur Risk 1","Jodhpur Market Analysis",Demand,Medium,"Slow pace of corporate diversification beyond traditional sectors."
"Jodhpur Risk 2","Jodhpur Market Analysis",Demographics,Low,"Strong consumer loyalty to local regional brands in staples."
"Jodhpur Risk 3","Jodhpur Market Analysis",Accessibility,High,"Air base restrictions in certain zones limit high-rise development."
"Udaipur Risk 1","Udaipur Market Analysis",Demand,High,"High sensitivity to tourism downturns or travel restrictions."
"Udaipur Risk 2","Udaipur Market Analysis",Supply,Medium,"Topography limits construction of large-format horizontal warehouses."
"Udaipur Risk 3","Udaipur Market Analysis",Competition,Low,"Low organized trade depth makes sourcing localized perishables harder."
"Kota Risk 1","Kota Market Analysis",Demand,High,"Captive demand is highly cyclical dropping 40% during student vacations."
"Kota Risk 2","Kota Market Analysis",Demographics,Low,"Focus on value-rational students limits high-margin luxury growth."
"Kota Risk 3","Kota Market Analysis",Supply,Low,"Limited modern retail infrastructure currently available for lease."
