Name,Pin_Code__c,City__c,State__c,Primary_Source__c,Source_Version__c,Confidence__c,Total_Population__c,Population_Density__c,Male_Population__c,Female_Population__c,Avg_Household_Income__c,Income_Bracket__c,Literacy_Rate__c,Working_Population_Pct__c,Age_18_35_Pct__c,Urban_Rural__c,Data_Source__c,Year__c
Malad West - 400064,400064,Mumbai,Maharashtra,Census of India 2012 (Primary Census Abstract),Census 2012 baseline | Ward scale 2023,Medium,148100,20038,83586,64514,52000,Upper-Middle,88.98,42.67,30.2,Urban,Census of India 2012 (Primary Census Abstract) | Pop scaled to neighbourhood (4.8% of district),2012
Kandivali West - 400058,400058,Mumbai,Maharashtra,Census of India 2012 (Primary Census Abstract),Census 2012 baseline | Ward scale 2023,Medium,157356,20038,88810,68546,52000,Upper-Middle,88.98,42.67,30.2,Urban,Census of India 2012 (Primary Census Abstract) | Pop scaled to neighbourhood (5.1% of district),2012
Goregaon West - 400069,400069,Mumbai,Maharashtra,Census of India 2012 (Primary Census Abstract),Census 2012 baseline | Ward scale 2023,Medium,129587,20038,73138,56450,52000,Upper-Middle,88.98,42.67,30.2,Urban,Census of India 2012 (Primary Census Abstract) | Pop scaled to neighbourhood (4.2% of district),2012
Andheri East - 400053,400053,Mumbai,Maharashtra,Census of India 2012 (Primary Census Abstract),Census 2012 baseline | Ward scale 2023,Medium,194381,20038,109706,84674,52000,Upper-Middle,88.98,42.67,30.2,Urban,Census of India 2012 (Primary Census Abstract) | Pop scaled to neighbourhood (6.3% of district),2012
Powai - 400047,400047,Mumbai,Maharashtra,Census of India 2012 (Primary Census Abstract),Census 2012 baseline | Ward scale 2023,Medium,89477,20038,50500,38977,52000,Upper-Middle,88.98,42.67,30.2,Urban,Census of India 2012 (Primary Census Abstract) | Pop scaled to neighbourhood (2.9% of district),2012
Dahisar West - 400062,400062,Mumbai,Maharashtra,Census of India 2012 (Primary Census Abstract),Census 2012 baseline | Ward scale 2023,Medium,114160,20038,64431,49729,52000,Upper-Middle,88.98,42.67,30.2,Urban,Census of India 2012 (Primary Census Abstract) | Pop scaled to neighbourhood (3.7% of district),2012
Borivali West - 400097,400097,Mumbai,Maharashtra,Census of India 2012 (Primary Census Abstract),Census 2012 baseline | Ward scale 2023,Medium,138843,20038,78362,60482,52000,Upper-Middle,88.98,42.67,30.2,Urban,Census of India 2012 (Primary Census Abstract) | Pop scaled to neighbourhood (4.5% of district),2012
Ghatkopar East - 400091,400091,Mumbai,Maharashtra,Census of India 2012 (Primary Census Abstract),Census 2012 baseline | Ward scale 2023,Medium,160441,20038,90551,69890,52000,Upper-Middle,88.98,42.67,30.2,Urban,Census of India 2012 (Primary Census Abstract) | Pop scaled to neighbourhood (5.2% of district),2012
Bandra West - 400028,400028,Mumbai,Maharashtra,Census of India 2012 (Primary Census Abstract),Census 2012 baseline | Ward scale 2023,Medium,95648,20038,53983,41665,52000,Upper-Middle,88.98,42.67,30.2,Urban,Census of India 2012 (Primary Census Abstract) | Pop scaled to neighbourhood (3.1% of district),2012
Bandra East - 400050,400050,Mumbai,Maharashtra,Census of India 2012 (Primary Census Abstract),Census 2012 baseline | Ward scale 2023,Medium,86392,20038,48758,37633,52000,Upper-Middle,88.98,42.67,30.2,Urban,Census of India 2012 (Primary Census Abstract) | Pop scaled to neighbourhood (2.8% of district),2012
