Expansion_Site__r.Name,Projection_Date__c,Setup_Cost__c,Monthly_Rent__c,Monthly_Operating__c,Monthly_Revenue__c,Revenue_Confidence__c,Assumptions__c
"Malad West - 400064","2026-04-15",35000000,700000,2500000,28000000,High,"Based on 12000 sqft at ₹58/sqft; competitor density and footfall from ComScore proxy data 2026."
"Bandra West - 400050","2026-04-15",40000000,900000,3000000,35000000,High,"Based on 10000 sqft at ₹90/sqft Linking Road; premium category sales assumption 40% higher than median."
"Kalyani Nagar - 411006","2026-04-15",18000000,420000,1500000,16000000,High,"Based on 7000 sqft at ₹60/sqft; Pune IT corridor salary data from NASSCOM 2026."
"Hinjewadi - 411057","2026-04-15",15000000,300000,1200000,18000000,High,"Based on 8500 sqft at ₹35/sqft; weekday captive corporate demand assumed at 65%."
"Indiranagar - 560038","2026-04-15",30000000,650000,2200000,25000000,High,"Based on 9000 sqft at ₹72/sqft 100ft road; premium index 1.35x applied over Bangalore median."
"HSR Layout - 560102","2026-04-15",25000000,500000,1800000,20000000,High,"Based on 7500 sqft at ₹67/sqft; HSR residential density data from Census 2024 projections."
"Gachibowli - 500032","2026-04-15",28000000,450000,1600000,19000000,High,"Based on 8000 sqft at ₹56/sqft; Hyderabad IT belt footfall benchmarked against CBRE 2025."
"Banjara Hills - 500034","2026-04-15",35000000,700000,2200000,24000000,High,"Based on 9000 sqft at ₹78/sqft; premium category mix adjusted for Banjara Hills income profile."
"Vasant Kunj - 110070","2026-04-15",45000000,900000,3000000,32000000,High,"Based on 12000 sqft at ₹75/sqft Ambience Mall; Delhi elite FMCG basket size 1.5x national avg."
"Rohini - 110085","2026-04-15",22000000,380000,1500000,18000000,High,"Based on 9000 sqft at ₹42/sqft; North Delhi residential density from JLL Delhi 2026."
"T. Nagar - 600017","2026-04-15",32000000,600000,2000000,22000000,High,"Based on 10000 sqft at ₹60/sqft; festive season multiplier 1.8x applied for Pongal and Diwali."
"Prahlad Nagar - 380015","2026-04-15",16000000,340000,1200000,15000000,Medium,"Based on 7000 sqft at ₹49/sqft; Ahmedabad FMCG growth estimated from Gujarat retail survey 2025."
"Sargasan - 382421","2026-04-15",13000000,250000,1100000,11000000,Medium,"Based on 6500 sqft at ₹38/sqft; GIFT City occupancy data used as proxy for demand."
"Adajan - 395009","2026-04-15",15000000,320000,1200000,16000000,High,"Based on 7200 sqft at ₹44/sqft; Surat diamond belt disposable income data from RBI Surat 2025."
"Alkapuri - 390007","2026-04-15",14000000,280000,1100000,14000000,Medium,"Based on 6800 sqft at ₹41/sqft; Vadodara per-capita retail spend from NITI Aayog 2025."
"Arera Colony - 462016","2026-04-15",11000000,240000,950000,12000000,Medium,"Based on 6000 sqft at ₹40/sqft; Bhopal government employee household income data applied."
"Vijay Nagar - 452010","2026-04-15",16000000,380000,1300000,18000000,High,"Based on 7500 sqft at ₹51/sqft Vijay Nagar Square; Indore consumer index 1.2x Tier 2 average."
"City Centre - 474002","2026-04-15",9000000,180000,750000,9000000,Medium,"Based on 5000 sqft at ₹36/sqft; Gwalior retail footfall estimates from M&G Retail 2025."
"Civil Lines - 482001","2026-04-15",8000000,175000,700000,8500000,Medium,"Based on 4800 sqft at ₹36/sqft; Jabalpur market benchmarked from Indore as proxy."
"Gomti Nagar - 226010","2026-04-15",18000000,300000,1200000,15000000,High,"Based on 7200 sqft at ₹42/sqft; Lucknow residential boom data from 99acres 2026."
"Mall Road - 208001","2026-04-15",16000000,280000,1200000,14000000,Medium,"Based on 7000 sqft at ₹40/sqft; Kanpur market size estimated from UP retail density data."
"Sanjay Place - 282002","2026-04-15",11000000,220000,900000,9500000,Medium,"Based on 5500 sqft at ₹40/sqft; Agra tourist footfall impact modeled at 15% monthly variance."
"Sigra - 221002","2026-04-15",11000000,200000,900000,11000000,Medium,"Based on 5800 sqft at ₹35/sqft; Varanasi religious tourism demand benchmarked from UP Tourism."
"Sector 18 - 201301","2026-04-15",25000000,550000,1900000,26000000,High,"Based on 10000 sqft at ₹55/sqft DLF adjacent; Noida Sector 18 retail index from ANAROCK 2025."
"Mansarovar - 302020","2026-04-15",16000000,300000,1200000,15000000,High,"Based on 7500 sqft at ₹40/sqft; Jaipur residential basket size data from Technopack 2025."
"Sardarpura - 342003","2026-04-15",10000000,200000,850000,9000000,Medium,"Based on 5200 sqft at ₹38/sqft; Jodhpur traditional market size modeled via state retail survey."
"Sukhadia Circle - 313001","2026-04-15",9500000,190000,820000,8500000,Medium,"Based on 5000 sqft at ₹38/sqft; tourism-adjusted demand assuming 45% seasonal uplift."
"Talwandi - 324005","2026-04-15",11000000,220000,850000,10000000,Medium,"Based on 6000 sqft at ₹37/sqft; Kota student demand cycle modeled for 9-month academic year."
"Vrindavan Yojana - 226010","2026-04-15",18000000,250000,1200000,15000000,Medium,"Based on 6000 sqft at ₹42/sqft; rental source from Magicbricks Lucknow 2026."
