Name,Address__c,City__c,State__c,Pin_Code__c,Region__c,Area_Type__c,Latitude__c,Longitude__c,Setup_Cost__c,Payback_Period_Months__c,Status__c,Recommended__c,Population_Density__c,Avg_Household_Income__c,Est_Monthly_Revenue__c,Accessibility_Score__c,Competition_Level__c,Notes__c,Foot_Traffic_Index__c,Distance_Nearest_Store_km__c,Demand_Score__c
"Malad West - 400064","Link Road, Near Mithibai College, Malad West","Mumbai","Maharashtra","400064","West","Metro",19.1864162,72.8493388,35000000,30,"Identified",true,20038,52000,28000000,85,"High","Located in a high-density zone with strong visibility.",92,1.2,95.0
"Bandra West - 400050","Linking Road, Near Shoppers Stop, Bandra West","Mumbai","Maharashtra","400050","West","Metro",19.0595596,72.8295287,40000000,36,"Identified",false,20038,52000,35000000,90,"High","Premium high-street site with elite spending profile.",88,2.5,92.0
"Kalyani Nagar - 411006","Central Avenue, Near Cybage, Kalyani Nagar","Pune","Maharashtra","411006","West","Tier 1",18.5462521,73.9032123,18000000,24,"Identified",true,18500,58000,16000000,82,"Medium","Elite residential cluster with strong IT workforce base.",78,3.4,84.0
"Hinjewadi - 411057","Phase 1, Rajiv Gandhi IT Park, Hinjewadi","Pune","Maharashtra","411057","West","Tier 1",18.5913254,73.7389123,15000000,22,"Identified",false,15000,42000,18000000,88,"Medium","Captive tech audience with high weekend grocery demand.",85,0.8,88.0
"Indiranagar - 560038","100 Feet Road, Near Metro Station, Indiranagar","Bangalore","Karnataka","560038","South","Metro",12.9783456,77.6409876,30000000,36,"Identified",true,4381,55000,25000000,95,"High","Highest per-kg FMCG spend area in the city.",94,2.1,94.0
"HSR Layout - 560102","19th Main, Sector 2, HSR Layout","Bangalore","Karnataka","560102","South","Metro",12.9127521,77.6387123,25000000,28,"Identified",false,4381,55000,20000000,92,"Medium","High-density residential node with tech population.",86,1.5,90.0
"Gachibowli - 500032","DLF Cyber City Road, Gachibowli","Hyderabad","Telangana","500032","South","Metro",17.4447123,78.3498123,28000000,30,"Identified",true,18172,38000,19000000,89,"Medium","Core IT hub expansion catering to young professionals.",82,1.9,89.0
"Banjara Hills - 500034","Road No 1, Near Taj Krishna, Banjara Hills","Hyderabad","Telangana","500034","South","Metro",17.4152521,78.4485123,35000000,36,"Identified",false,18172,38000,24000000,87,"High","Premium high-street location with diverse category demand.",79,4.2,87.0
"Vasant Kunj - 110070","Nelson Mandela Marg, Near Ambience Mall, Vasant Kunj","Delhi","Delhi","110070","North","Metro",28.5284123,77.1584123,45000000,40,"Identified",true,11320,58000,32000000,93,"High","Top performing mall-based hypermarket candidate.",91,0.5,93.0
"Rohini - 110085","Sector 11, Near Garg Trade Centre, Rohini","Delhi","Delhi","110085","North","Metro",28.7152521,77.1123123,22000000,26,"Identified",false,11320,58000,18000000,88,"Medium","Densely populated residential hub in North Delhi.",84,2.8,88.0
"T. Nagar - 600017","Usman Road, Near Panagal Park, T. Nagar","Chennai","Tamil Nadu","600017","South","Metro",13.0405123,80.2337123,32000000,32,"Identified",true,26702,40000,22000000,91,"High","Historical retail heart with massive festive footfall.",96,1.4,91.0
"Adyar - 600020","Gandhi Nagar, 1st Main Road, Adyar","Chennai","Tamil Nadu","600020","South","Metro",13.0067521,80.2545123,26000000,28,"Identified",false,26702,40000,16000000,86,"Medium","Stable affluent residential pocket with loyal base.",82,3.1,86.0
"Prahlad Nagar - 380015","Anand Nagar Road, Corporate Road, Prahlad Nagar","Ahmedabad","Gujarat","380015","West","Tier 1",23.0125412,72.5023123,16000000,22,"Identified",true,891,42000,15000000,84,"Medium","Modern commercial node with high quality-seeking demand.",80,2.6,84.0
"Satellite - 380015","Shivranjani Cross Road, Satellite","Ahmedabad","Gujarat","380015","West","Tier 1",23.0232521,72.5287123,14000000,20,"Identified",false,891,42000,14000000,82,"High","Established residential zone with heavy competition.",82,1.2,82.0
"Sargasan - 382421","Ariane Legacy, Near Sargasan Cross Road","Gandhinagar","Gujarat","382421","West","Tier 1",23.1897654,72.6345678,13000000,26,"Identified",true,2138,45000,11000000,84,"Medium","Rapidly growing residential hub near GIFT City.",76,4.5,82.0
